qb_name,total_tds,games_played,is_starter
Matthew Stafford,17,7,True
Dak Prescott,16,7,True
Jared Goff,15,7,True
Aaron Rodgers,14,6,True
Patrick Mahomes,14,7,True
Justin Herbert,13,7,True
Baker Mayfield,13,7,True
Sam Darnold,12,7,True
Drake Maye,12,7,True
Tua Tagovailoa,11,7,True
Josh Allen,11,6,True
Bryce Young,11,7,True
Jalen Hurts,11,7,True
Bo Nix,11,7,True
Lamar Jackson,10,4,True
Daniel Jones,10,7,True
Jordan Love,10,6,True
Trevor Lawrence,9,7,True
Caleb Williams,9,6,True
C.J. Stroud,9,6,True
Spencer Rattler,8,7,True
Jayden Daniels,8,5,True
Geno Smith,7,7,True
Jaxson Dart,7,6,True
Joe Flacco,7,6,True
Kyler Murray,6,5,True
Mac Jones,6,5,True
Jake Browning,6,4,True
Carson Wentz,5,4,True
Joe Flacco,5,2,True
Michael Penix,5,6,True
Brock Purdy,4,2,True
Jacoby Brissett,4,4,True
Cam Ward,4,7,True
Justin Fields,4,6,True
Russell Wilson,3,5,True
Dillon Gabriel,3,5,True
Marcus Mariota,3,3,True
Tyrod Taylor,3,3,True
Joe Flacco,2,4,True
J.J. McCarthy,2,2,True
Joe Burrow,2,2,True
Andy Dalton,1,3,False
David Montgomery,1,7,False
Cam Akers,1,3,False
Derrick Henry,0,6,True
Anthony Richardson,0,2,False
Kenny Pickett,0,1,False
Jaylen Waddle,0,7,True
Brett Rypien,0,1,False
Joshua Karty,0,7,False
Cooper Kupp,0,7,True
Chris Olave,0,7,True
Joshua Dobbs,0,2,False
Tyler Shough,0,1,False
Tyler Warren,0,7,True
Mason Rudolph,0,2,False
Kirk Cousins,0,1,False
Drew Lock,0,1,False
Taysom Hill,0,3,False
Davis Mills,0,1,False
Tyson Bagent,0,1,False
Max Brosmer,0,2,False
Zach Wilson,0,1,False
Mitchell Trubisky,0,1,False
Joe Milton,0,1,False
Trey Lance,0,1,False
Quinn Ewers,0,1,False
Tyler Huntley,0,1,False
Cooper Rush,0,4,True
League Average,0,0,False
